label,stats_file,sim_seconds,sim_ticks,sim_insts,sim_ops,host_seconds,host_inst_rate,cpu_cycles,cpu_cpi,cpu_ipc,l1d_accesses,l1d_misses,l1d_miss_rate,l1i_accesses,l1i_misses,l1i_miss_rate,l2_accesses,l2_misses,l2_miss_rate
m5out_baseline_run1,out/m5out_baseline_run1/stats.txt,0.028211,28210847000,17489837,17489837,13.02,1343014,28210847,1.612985,0.619969,3744667,901,0.000241,24325217,884,3.6e-05,35028,6029,0.172119
m5out_baseline_run2,out/m5out_baseline_run2/stats.txt,0.028211,28210847000,17489837,17489837,11.84,1477484,28210847,1.612985,0.619969,3744667,901,0.000241,24325217,884,3.6e-05,35028,6029,0.172119
m5out_baseline_run3,out/m5out_baseline_run3/stats.txt,0.028211,28210847000,17489837,17489837,12.26,1426002,28210847,1.612985,0.619969,3744667,901,0.000241,24325217,884,3.6e-05,35028,6029,0.172119
m5out_baseline,out/m5out_baseline/stats.txt,0.028211,28210847000,17489837,17489837,13.49,1296822,28210847,1.612985,0.619969,3744667,901,0.000241,24325217,884,3.6e-05,35028,6029,0.172119
